#Dt	counts	counts_err
1.02e-09	146.0	8.814445583317829e-08
1.03e-09	172.0	7.088303182879366e-08
1.04e-09	139.0	9.279176229590738e-08
1.0499999999999999e-09	166.0	7.486643736826548e-08
1.0599999999999999e-09	129.0	9.943077152836047e-08
1.07e-09	157.0	8.084154567747854e-08
1.08e-09	107.0	1.140365918397744e-07
1.09e-09	117.0	1.0739758260731624e-07
1.1e-09	118.0	1.0673368168406789e-07
1.1099999999999999e-09	139.0	9.279176229590738e-08
1.1199999999999999e-09	112.0	1.1071708722354392e-07
1.13e-09	125.0	1.0208637522134931e-07
1.14e-09	128.0	1.0009467245160513e-07
1.15e-09	107.0	1.140365918397744e-07
1.16e-09	101.0	1.1801999737925051e-07
1.1699999999999999e-09	114.0	1.0938928537705506e-07
1.1799999999999999e-09	72.0	1.372731241533841e-07
1.19e-09	83.0	1.299702139976799e-07
1.2e-09	85.0	1.286424121511851e-07
1.21e-09	104.0	1.1602829460951153e-07
1.22e-09	93.0	1.233312047652176e-07
1.2299999999999999e-09	70.0	1.3860092599987825e-07
1.2399999999999999e-09	63.0	1.4324823246259964e-07
1.25e-09	93.0	1.233312047652176e-07
1.26e-09	72.0	1.372731241533841e-07
1.27e-09	66.0	1.4125652969286156e-07
1.28e-09	69.0	1.3926482692312155e-07
1.2899999999999999e-09	64.0	1.4258433153935176e-07
1.2999999999999999e-09	55.0	1.4855943984856698e-07
1.3099999999999998e-09	67.0	1.4059262876961559e-07
1.32e-09	55.0	1.4855943984856698e-07
1.33e-09	71.0	1.3793702507663206e-07
1.34e-09	45.0	1.5519844908102622e-07
1.3499999999999999e-09	51.0	1.5121504354155059e-07
1.3599999999999999e-09	56.0	1.478955389253193e-07
1.3699999999999998e-09	52.0	1.5055114261830554e-07
1.38e-09	49.0	1.525428453880429e-07
1.39e-09	41.0	1.5785405277401077e-07
1.4e-09	55.0	1.4855943984856698e-07
1.4099999999999999e-09	42.0	1.5719015185076533e-07
1.4199999999999999e-09	44.0	1.5586235000427362e-07
1.4299999999999998e-09	43.0	1.5652625092751809e-07
1.44e-09	43.0	1.5652625092751809e-07
1.45e-09	42.0	1.5719015185076533e-07
1.46e-09	47.0	1.5387064723453438e-07
1.4699999999999999e-09	41.0	1.5785405277401077e-07
1.4799999999999999e-09	39.0	1.5918185462050267e-07
1.4899999999999998e-09	43.0	1.5652625092751809e-07
1.5e-09	33.0	1.6316526015997878e-07
1.51e-09	35.0	1.6183745831348683e-07
1.52e-09	26.0	1.6781256662270107e-07
1.5299999999999999e-09	34.0	1.625013592367336e-07
1.5399999999999999e-09	37.0	1.6050965646699464e-07
1.5499999999999998e-09	26.0	1.6781256662270107e-07
1.56e-09	30.0	1.6515696292971733e-07
1.57e-09	30.0	1.6515696292971733e-07
1.58e-09	22.0	1.7046817031568526e-07
1.5899999999999999e-09	28.0	1.6648476477620912e-07
1.5999999999999999e-09	16.0	1.7445157585516142e-07
1.6099999999999998e-09	27.0	1.6714866569945512e-07
1.62e-09	18.0	1.731237740086695e-07
1.63e-09	25.0	1.6847646754594697e-07
1.64e-09	22.0	1.7046817031568526e-07
1.6499999999999999e-09	26.0	1.6781256662270107e-07
