LECROYWR640Zi,60050,Histogram
Segments,1,SegmentSize,5000
Segment,TrigTime,TimeSinceSegment1
#1,09-Nov-2017 17:25:19,0                 
Time,Ampl
-1.852e-008,8
-1.851e-008,10
-1.85e-008,12
-1.849e-008,6
-1.848e-008,7
-1.847e-008,14
-1.846e-008,9
-1.845e-008,9
-1.844e-008,5
-1.843e-008,8
-1.842e-008,8
-1.841e-008,9
-1.84e-008,8
-1.839e-008,7
-1.838e-008,7
-1.837e-008,7
-1.836e-008,8
-1.835e-008,11
-1.834e-008,8
-1.833e-008,7
-1.832e-008,9
-1.831e-008,9
-1.83e-008,6
-1.829e-008,12
-1.828e-008,10
-1.827e-008,7
-1.826e-008,9
-1.825e-008,12
-1.824e-008,8
-1.823e-008,7
-1.822e-008,14
-1.821e-008,9
-1.82e-008,12
-1.819e-008,8
-1.818e-008,8
-1.817e-008,11
-1.816e-008,11
-1.815e-008,10
-1.814e-008,7
-1.813e-008,8
-1.812e-008,8
-1.811e-008,12
-1.81e-008,10
-1.809e-008,12
-1.808e-008,9
-1.807e-008,10
-1.806e-008,6
-1.805e-008,5
-1.804e-008,10
-1.803e-008,5
-1.802e-008,9
-1.801e-008,13
-1.8e-008,13
-1.799e-008,6
-1.798e-008,10
-1.797e-008,8
-1.796e-008,11
-1.795e-008,12
-1.794e-008,8
-1.793e-008,10
-1.792e-008,3
-1.791e-008,11
-1.79e-008,12
-1.789e-008,4
-1.788e-008,8
-1.787e-008,4
-1.786e-008,7
-1.785e-008,10
-1.784e-008,12
-1.783e-008,7
-1.782e-008,13
-1.781e-008,6
-1.78e-008,15
-1.779e-008,10
-1.778e-008,9
-1.777e-008,12
-1.776e-008,8
-1.775e-008,11
-1.774e-008,14
-1.773e-008,5
-1.772e-008,5
-1.771e-008,11
-1.77e-008,11
-1.769e-008,7
-1.768e-008,6
-1.767e-008,11
-1.766e-008,11
-1.765e-008,11
-1.764e-008,16
-1.763e-008,5
-1.762e-008,8
-1.761e-008,7
-1.76e-008,7
-1.759e-008,2
-1.758e-008,6
-1.757e-008,11
-1.756e-008,6
-1.755e-008,13
-1.754e-008,10
-1.753e-008,8
-1.752e-008,7
-1.751e-008,17
-1.75e-008,10
-1.749e-008,11
-1.748e-008,9
-1.747e-008,4
-1.746e-008,13
-1.745e-008,6
-1.744e-008,13
-1.743e-008,9
-1.742e-008,11
-1.741e-008,9
-1.74e-008,9
-1.739e-008,11
-1.738e-008,8
-1.737e-008,10
-1.736e-008,10
-1.735e-008,7
-1.734e-008,9
-1.733e-008,8
-1.732e-008,12
-1.731e-008,9
-1.73e-008,7
-1.729e-008,13
-1.728e-008,9
-1.727e-008,14
-1.726e-008,12
-1.725e-008,6
-1.724e-008,13
-1.723e-008,4
-1.722e-008,12
-1.721e-008,7
-1.72e-008,7
-1.719e-008,14
-1.718e-008,7
-1.717e-008,9
-1.716e-008,10
-1.715e-008,6
-1.714e-008,5
-1.713e-008,12
-1.712e-008,10
-1.711e-008,12
-1.71e-008,10
-1.709e-008,6
-1.708e-008,7
-1.707e-008,8
-1.706e-008,11
-1.705e-008,16
-1.704e-008,9
-1.703e-008,8
-1.702e-008,11
-1.701e-008,6
-1.7e-008,7
-1.699e-008,5
-1.698e-008,3
-1.697e-008,7
-1.696e-008,13
-1.695e-008,10
-1.694e-008,7
-1.693e-008,15
-1.692e-008,10
-1.691e-008,7
-1.69e-008,9
-1.689e-008,11
-1.688e-008,5
-1.687e-008,9
-1.686e-008,18
-1.685e-008,8
-1.684e-008,10
-1.683e-008,8
-1.682e-008,2
-1.681e-008,12
-1.68e-008,10
-1.679e-008,9
-1.678e-008,10
-1.677e-008,17
-1.676e-008,13
-1.675e-008,11
-1.674e-008,15
-1.673e-008,13
-1.672e-008,12
-1.671e-008,8
-1.67e-008,12
-1.669e-008,8
-1.668e-008,8
-1.667e-008,7
-1.666e-008,15
-1.665e-008,10
-1.664e-008,8
-1.663e-008,7
-1.662e-008,9
-1.661e-008,11
-1.66e-008,10
-1.659e-008,11
-1.658e-008,10
-1.657e-008,13
-1.656e-008,10
-1.655e-008,7
-1.654e-008,12
-1.653e-008,11
-1.652e-008,7
-1.651e-008,11
-1.65e-008,11
-1.649e-008,12
-1.648e-008,6
-1.647e-008,13
-1.646e-008,15
-1.645e-008,9
-1.644e-008,13
-1.643e-008,15
-1.642e-008,14
-1.641e-008,13
-1.64e-008,9
-1.639e-008,15
-1.638e-008,10
-1.637e-008,17
-1.636e-008,7
-1.635e-008,10
-1.634e-008,5
-1.633e-008,14
-1.632e-008,17
-1.631e-008,14
-1.63e-008,15
-1.629e-008,17
-1.628e-008,9
-1.627e-008,13
-1.626e-008,5
-1.625e-008,9
-1.624e-008,12
-1.623e-008,11
-1.622e-008,10
-1.621e-008,15
-1.62e-008,13
-1.619e-008,17
-1.618e-008,8
-1.617e-008,16
-1.616e-008,17
-1.615e-008,14
-1.614e-008,15
-1.613e-008,10
-1.612e-008,16
-1.611e-008,14
-1.61e-008,16
-1.609e-008,13
-1.608e-008,9
-1.607e-008,16
-1.606e-008,16
-1.605e-008,14
-1.604e-008,13
-1.603e-008,19
-1.602e-008,21
-1.601e-008,22
-1.6e-008,20
-1.599e-008,19
-1.598e-008,16
-1.597e-008,19
-1.596e-008,24
-1.595e-008,19
-1.594e-008,23
-1.593e-008,22
-1.592e-008,18
-1.591e-008,27
-1.59e-008,22
-1.589e-008,30
-1.588e-008,21
-1.587e-008,20
-1.586e-008,31
-1.585e-008,18
-1.584e-008,36
-1.583e-008,25
-1.582e-008,28
-1.581e-008,12
-1.58e-008,25
-1.579e-008,32
-1.578e-008,17
-1.577e-008,41
-1.576e-008,31
-1.575e-008,28
-1.574e-008,29
